"Player","Team","Position","Rk","Status","Opponent","FPts","FP/G","% Owned","+/-","GP","G","A","KP","AF","SOT","Tk","DIS","FS","YC","SYC","RC","AC","Int","CLR","AER","OG","GAD","CSD","CSM"
"Hazard, Eden","CHE","F","1","Mayomen","BURN Mon 3:00PM","579","17.55","100%","0%","33","16","12","85","0","40","12","78","97","2","0","0","28","12","4","18","0","0","0","0"
"Maddison, James","LEIC","M","2","Farsi","@WHU Sat 10:00AM","494.5","15.45","99%","0%","32","7","6","93","0","25","44","33","69","3","1","1","61","12","5","10","0","0","0","5"
"Mohamed Salah","LIV","F","3","CTMS","@CAR Sun 11:00AM","483","14.21","100%","0%","34","19","7","62","3","56","18","111","30","1","0","0","16","5","4","11","0","0","0","0"
"Fraser, Ryan","BOUR","M","4","SLAM","FUL Sat 10:00AM","482","14.18","95%","0%","34","7","12","77","0","21","18","25","59","2","0","0","59","21","19","11","0","0","0","7"
"Sigurdsson, Gylfi","EVE","M","5","Mayomen","MUN Sun 8:30AM","475","13.97","100%","0%","34","12","4","64","0","32","51","28","36","3","0","0","43","25","18","18","0","0","0","10"
"Sterling, Raheem","MCI","M,F","6","Farsi","TOT Sat 7:30AM","473.5","16.33","100%","0%","29","17","9","59","4","35","28","73","37","2","0","0","11","15","4","8","0","0","0","2"
"Milivojevic, Luka","CRY","M","7","susej","@ARS Sun 11:00AM","473.5","13.93","99%","0%","34","12","1","46","0","25","78","17","31","8","0","0","43","63","57","48","0","0","0","11"
"Pogba, Paul","MUN","M","8","susej","@EVE Sun 8:30AM","463.5","15.45","100%","0%","30","13","9","46","1","48","41","75","58","5","0","0","3","16","32","52","0","0","0","7"
"Digne, Lucas","EVE","D","9","DerianT","MUN Sun 8:30AM","462.5","14.92","96%","0%","31","3","4","58","0","8","61","29","29","4","0","1","72","55","80","82","1","34","10","0"
"Felipe Anderson","WHU","M","10","JRs","LEIC Sat 10:00AM","440","13.33","99%","0%","33","9","4","58","1","22","77","50","49","3","0","0","32","36","10","10","0","0","0","4"
"Doherty, Matt","WOLVES","D","11","Martin","BRIGHT Sat 10:00AM","436.75","13.23","94%","0%","33","3","4","31","2","16","61","20","15","4","0","0","12","50","79","136","1","2","0","6"
"van Dijk, Virgil","LIV","D","12","DerianT","@CAR Sun 11:00AM","436.25","12.83","100%","0%","34","3","2","7","2","7","34","1","17","1","0","0","0","39","183","152","0","20","17","0"
"Mane, Sadio","LIV","F","13","BOOM","@CAR Sun 11:00AM","433","13.53","100%","0%","32","18","1","36","2","37","34","37","55","2","0","0","5","15","8","31","0","0","0","7"
"Joao Moutinho","WOLVES","M","14","EBDB","BRIGHT Sat 10:00AM","409.5","12.41","95%","+0.1%","33","1","8","68","0","2","99","19","33","3","0","0","47","36","35","20","0","0","0","6"
"Ricardo Pereira","LEIC","D","15","EBDB","@WHU Sat 10:00AM","401","12.94","99%","0%","31","2","5","32","2","8","106","33","45","6","0","0","15","52","94","57","0","28","6","1"
"Jimenez, Raul","WOLVES","F","16","Martin","BRIGHT Sat 10:00AM","396.5","12.02","99%","0%","33","12","7","39","3","33","27","59","32","4","0","0","7","24","36","72","0","0","0","0"
"Kane, Harry","TOT","F","17","Farsi","@MCI Sat 7:30AM","395.5","14.12","94%","0%","28","17","4","30","2","46","10","44","52","5","0","0","4","1","14","49","0","0","0","0"
"Robertson, Andrew","LIV","D","18","Martin","@CAR Sun 11:00AM","391.25","12.23","100%","0%","32","0","9","44","1","4","75","23","14","4","0","0","18","29","43","20","0","18","18","0"
"Mitrovic, Aleksandar","FUL","F","19","susej","@BOUR Sat 10:00AM","387.5","11.74","97%","+0.1%","33","10","3","29","1","44","19","85","54","6","0","0","1","6","51","216","0","0","0","0"
"Aguero, Sergio","MCI","F","20","BOOM","TOT Sat 7:30AM","387","13.82","100%","0%","28","19","7","29","3","38","17","45","21","3","0","0","0","8","3","15","0","0","0","0"
"Eriksen, Christian","TOT","M","21","Mayomen","@MCI Sat 7:30AM","385","12.83","100%","0%","30","6","12","66","0","24","34","27","13","2","0","0","28","14","7","9","0","0","0","5"
"Aubameyang, Pierre-Emerick","ARS","F","22","EBDB","CRY Sun 11:00AM","382.5","11.95","100%","0%","32","18","5","29","2","33","19","27","18","0","0","0","6","7","18","32","0","0","0","2"
"Lacazette, Alexandre","ARS","F","23","CTMS","CRY Sun 11:00AM","380","12.26","100%","0%","31","13","7","26","4","28","32","52","49","2","0","0","5","14","26","42","0","0","0","0"
"Paterson, Callum","CAR","D","24","FA","CAR 2<br/>@BRIGHT 0 F","380","14.07","51%","-0.3%","27","4","1","23","1","8","21","12","30","4","0","0","5","8","28","202","0","0","1","1"
"Deeney, Troy","WAT","F","25","Farsi","@HUD Sat 10:00AM","366.5","12.22","84%","-0.5%","30","9","5","39","0","27","23","33","32","4","0","1","2","7","28","190","0","0","0","0"
"Willian","CHE","F","26","CTMS","BURN Mon 3:00PM","357.5","11.92","98%","+0.1%","30","3","6","74","1","21","34","35","30","1","0","0","37","13","9","10","0","0","0","0"
"Morrison, Sean","CAR","D","27","CTMS","CAR 2<br/>@BRIGHT 0 F","355.5","11.85","81%","-0.1%","30","1","3","19","1","8","25","6","18","5","0","0","0","50","182","205","0","57","8","0"
"Alonso, Marcos","CHE","D","28","DerianT","BURN Mon 3:00PM","352.25","12.58","99%","0%","28","1","4","31","4","6","67","25","32","6","0","0","9","32","71","59","0","27","12","0"
